keyboard_name,keyboard_size,keyboard_type,user,audio_file,key_pressed,keyboard_material,switch_type,PCA_Feature_A,PCA_Feature_B,cluster
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_z_1720383597_Basem.wav,z,aluminum,Tactile,-1.7374603,1.8707471,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_k_1720383403_Basem.wav,k,aluminum,Tactile,-2.977765,2.4383981,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_4_1720380835_Basem.wav,4,aluminum,Tactile,-3.402243,2.1221812,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_f_1720383189_Basem.wav,f,aluminum,Tactile,-3.2412124,2.3255606,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_d_1720383147_Basem.wav,d,aluminum,Tactile,-3.5531712,2.5162058,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_m_1720383976_Basem.wav,m,aluminum,Tactile,-2.2725422,2.6823208,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_c_1720383754_Basem.wav,c,aluminum,Tactile,-1.7670528,2.1238513,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,"key_press_,_1720384000_Basem.wav",",",aluminum,Tactile,-2.1231139,2.6512904,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_j_1720383312_Basem.wav,j,aluminum,Tactile,-2.8766248,2.271342,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_p_1720382799_Basem.wav,p,aluminum,Tactile,-1.3009632,1.7558805,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_m_1720383972_Basem.wav,m,aluminum,Tactile,-3.274986,2.254823,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_9_1720381024_Basem.wav,9,aluminum,Tactile,-1.3478194,1.884626,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,"key_press_,_1720383993_Basem.wav",",",aluminum,Tactile,-2.7086012,2.3672583,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_w_1720381273_Basem.wav,w,aluminum,Tactile,-3.4780962,2.3753724,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_g_1720383228_Basem.wav,g,aluminum,Tactile,-2.796389,2.1942759,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_e_1720381318_Basem.wav,e,aluminum,Tactile,-2.28667,2.0872164,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_space_1720384155_Basem.wav,space,aluminum,Tactile,-3.8861558,1.5564978,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_3_1720380787_Basem.wav,3,aluminum,Tactile,-1.5368993,1.8894778,1
